negative indicative present 2SG	t͡ʃʰes jeɻkʰum	t͡ʃʰes uʁɒɻkum	t͡ʃʰes kɒɻtʰum	t͡ʃʰes t͡sʰɒnknum	t͡ʃʰes uɻɒχɒnum	t͡ʃʰes veɻt͡sʰnum	t͡ʃʰes uɻɒχɒt͡sʰnum	t͡ʃʰes mernum	t͡ʃʰes it͡ʃʰnum	t͡ʃʰes pʰɒχnum	t͡ʃʰes ɒrnum	t͡ʃʰes tesnum	t͡ʃʰes elnum	t͡ʃʰes tʱɒʁnum	t͡ʃʰes utum	t͡ʃʰes ɒnum	t͡ʃʰes tɒnum	t͡ʃʰes dənum	t͡ʃʰes etʰum	t͡ʃʰes tɒlis	t͡ʃʰes ɡɒlis	t͡ʃʰəkɒs	t͡ʃʰunes	t͡ʃʰes beɻum	t͡ʃʰes ɒsum	t͡ʃʰes dɒrnum	t͡ʃʰes ləvɒnum	t͡ʃʰes bɒt͡sʰum
negative indicative present 3SG	t͡ʃʰi jeɻkʰum	t͡ʃʰi uʁɒɻkum	t͡ʃʰi kɒɻtʰum	t͡ʃʰi t͡sʰɒnknum	t͡ʃʰi uɻɒχɒnum	t͡ʃʰi veɻt͡sʰnum	t͡ʃʰi uɻɒχɒt͡sʰnum	t͡ʃʰi mernum	t͡ʃʰi it͡ʃʰnum	t͡ʃʰi pʰɒχnum	t͡ʃʰi ɒrnum	t͡ʃʰi tesnum	t͡ʃʰi elnum	t͡ʃʰi tʱɒʁnum	t͡ʃʰi utum	t͡ʃʰi ɒnum	t͡ʃʰi tɒnum	t͡ʃʰi dənum	t͡ʃʰi etʰum	t͡ʃʰi tɒlis	t͡ʃʰi ɡɒlis	t͡ʃʰəkɒj	t͡ʃʰuni	t͡ʃʰi beɻum	t͡ʃʰi ɒsum	t͡ʃʰi dɒrnum	t͡ʃʰi ləvɒnum	t͡ʃʰi bɒt͡sʰum
negative indicative present 1PL	t͡ʃʰeŋkʰ jeɻkʰum	t͡ʃʰeŋkʰ uʁɒɻkum	t͡ʃʰeŋkʰ kɒɻtʰum	t͡ʃʰeŋkʰ t͡sʰɒnknum	t͡ʃʰeŋkʰ uɻɒχɒnum	t͡ʃʰeŋkʰ veɻt͡sʰnum	t͡ʃʰeŋkʰ uɻɒχɒt͡sʰnum	t͡ʃʰeŋkʰ mernum	t͡ʃʰeŋkʰ it͡ʃʰnum	t͡ʃʰeŋkʰ pʰɒχnum	t͡ʃʰeŋkʰ ɒrnum	t͡ʃʰeŋkʰ tesnum	t͡ʃʰeŋkʰ elnum	t͡ʃʰeŋkʰ tʱɒʁnum	t͡ʃʰeŋkʰ utum	t͡ʃʰeŋkʰ ɒnum	t͡ʃʰeŋkʰ tɒnum	t͡ʃʰeŋkʰ dənum	t͡ʃʰeŋkʰ etʰum	t͡ʃʰeŋkʰ tɒlis	t͡ʃʰeŋkʰ ɡɒlis	t͡ʃʰəkɒŋkʰ	t͡ʃʰuneŋkʰ	t͡ʃʰeŋkʰ beɻum	t͡ʃʰeŋkʰ ɒsum	t͡ʃʰeŋkʰ dɒrnum	t͡ʃʰeŋkʰ ləvɒnum	t͡ʃʰeŋkʰ bɒt͡sʰum
negative indicative present 2PL	t͡ʃʰekʰ jeɻkʰum	t͡ʃʰekʰ uʁɒɻkum	t͡ʃʰekʰ kɒɻtʰum	t͡ʃʰekʰ t͡sʰɒnknum	t͡ʃʰekʰ uɻɒχɒnum	t͡ʃʰekʰ veɻt͡sʰnum	t͡ʃʰekʰ uɻɒχɒt͡sʰnum	t͡ʃʰekʰ mernum	t͡ʃʰekʰ it͡ʃʰnum	t͡ʃʰekʰ pʰɒχnum	t͡ʃʰekʰ ɒrnum	t͡ʃʰekʰ tesnum	t͡ʃʰekʰ elnum	t͡ʃʰekʰ tʱɒʁnum	t͡ʃʰekʰ utum	t͡ʃʰekʰ ɒnum	t͡ʃʰekʰ tɒnum	t͡ʃʰekʰ dənum	t͡ʃʰekʰ etʰum	t͡ʃʰekʰ tɒlis	t͡ʃʰekʰ ɡɒlis	t͡ʃʰəkɒkʰ	t͡ʃʰunekʰ	t͡ʃʰekʰ beɻum	t͡ʃʰekʰ ɒsum	t͡ʃʰekʰ dɒrnum	t͡ʃʰekʰ ləvɒnum	t͡ʃʰekʰ bɒt͡sʰum
negative indicative present 3PL	t͡ʃʰen jeɻkʰum	t͡ʃʰen uʁɒɻkum	t͡ʃʰen kɒɻtʰum	t͡ʃʰen t͡sʰɒnknum	t͡ʃʰen uɻɒχɒnum	t͡ʃʰen veɻt͡sʰnum	t͡ʃʰen uɻɒχɒt͡sʰnum	t͡ʃʰen mernum	t͡ʃʰen it͡ʃʰnum	t͡ʃʰen pʰɒχnum	t͡ʃʰen ɒrnum	t͡ʃʰen tesnum	t͡ʃʰen elnum	t͡ʃʰen tʱɒʁnum	t͡ʃʰen utum	t͡ʃʰen ɒnum	t͡ʃʰen tɒnum	t͡ʃʰen dənum	t͡ʃʰen etʰum	t͡ʃʰen tɒlis	t͡ʃʰen ɡɒlis	t͡ʃʰəkɒn	t͡ʃʰunen	t͡ʃʰen beɻum	t͡ʃʰen ɒsum	t͡ʃʰen dɒrnum	t͡ʃʰen ləvɒnum	t͡ʃʰen bɒt͡sʰum
indicative past imperfective 1SG	jeɻkʰum im	uʁɒɻkum im	kɒɻtʰum im	t͡sʰɒnknum im	uɻɒχɒnum im	veɻt͡sʰnum im	uɻɒχɒt͡sʰnum im	mernum im	it͡ʃʰnum im	pʰɒχnum im	ɒrnum im	tesnum im	elnum im	tʱɒʁnum im	utum im	ɒnum im	tɒnum im	dənum im	etʰum im	tɒlis im	ɡɒlis im	kɒjim	unim	beɻum im	ɒsum im	dɒrnum im	ləvɒnum im	bɒt͡sʰum im
indicative past imperfective 2SG	jeɻkʰum iɻ	uʁɒɻkum iɻ	kɒɻtʰum iɻ	t͡sʰɒnknum iɻ	uɻɒχɒnum iɻ	veɻt͡sʰnum iɻ	uɻɒχɒt͡sʰnum iɻ	mernum iɻ	it͡ʃʰnum iɻ	pʰɒχnum iɻ	ɒrnum iɻ	tesnum iɻ	elnum iɻ	tʱɒʁnum iɻ	utum iɻ	ɒnum iɻ	tɒnum iɻ	dənum iɻ	etʰum iɻ	tɒlis iɻ	ɡɒlis iɻ	kɒjiɻ	uniɻ	beɻum iɻ	ɒsum iɻ	dɒrnum iɻ	ləvɒnum iɻ	bɒt͡sʰum iɻ
indicative past imperfective 3SG	jeɻkʰum eɻ	uʁɒɻkum eɻ	kɒɻtʰum eɻ	t͡sʰɒnknum eɻ	uɻɒχɒnum eɻ	veɻt͡sʰnum eɻ	uɻɒχɒt͡sʰnum eɻ	mernum eɻ	it͡ʃʰnum eɻ	pʰɒχnum eɻ	ɒrnum eɻ	tesnum eɻ	elnum eɻ	tʱɒʁnum eɻ	utum eɻ	ɒnum eɻ	tɒnum eɻ	dənum eɻ	etʰum eɻ	tɒlis eɻ	ɡɒlis eɻ	kɒɻ	uneɻ	beɻum eɻ	ɒsum eɻ	dɒrnum eɻ	ləvɒnum eɻ	bɒt͡sʰum eɻ
indicative past imperfective 1PL	jeɻkʰum iŋkʰ	uʁɒɻkum iŋkʰ	kɒɻtʰum iŋkʰ	t͡sʰɒnknum iŋkʰ	uɻɒχɒnum iŋkʰ	veɻt͡sʰnum iŋkʰ	uɻɒχɒt͡sʰnum iŋkʰ	mernum iŋkʰ	it͡ʃʰnum iŋkʰ	pʰɒχnum iŋkʰ	ɒrnum iŋkʰ	tesnum iŋkʰ	elnum iŋkʰ	tʱɒʁnum iŋkʰ	utum iŋkʰ	ɒnum iŋkʰ	tɒnum iŋkʰ	dənum iŋkʰ	etʰum iŋkʰ	tɒlis iŋkʰ	ɡɒlis iŋkʰ	kɒjiŋkʰ	uniŋkʰ	beɻum iŋkʰ	ɒsum iŋkʰ	dɒrnum iŋkʰ	ləvɒnum iŋkʰ	bɒt͡sʰum iŋkʰ
indicative past imperfective 2PL	jeɻkʰum ikʰ	uʁɒɻkum ikʰ	kɒɻtʰum ikʰ	t͡sʰɒnknum ikʰ	uɻɒχɒnum ikʰ	veɻt͡sʰnum ikʰ	uɻɒχɒt͡sʰnum ikʰ	mernum ikʰ	it͡ʃʰnum ikʰ	pʰɒχnum ikʰ	ɒrnum ikʰ	tesnum ikʰ	elnum ikʰ	tʱɒʁnum ikʰ	utum ikʰ	ɒnum ikʰ	tɒnum ikʰ	dənum ikʰ	etʰum ikʰ	tɒlis ikʰ	ɡɒlis ikʰ	kɒjikʰ	unikʰ	beɻum ikʰ	ɒsum ikʰ	dɒrnum ikʰ	ləvɒnum ikʰ	bɒt͡sʰum ikʰ
