negative indicative present 1PL	չենք {X}ում	չենք {X}ում	չենք {X}ում	չենք {X}նում	չենք {X}նում	չենք {X}ցնում	չենք {X}ցնում	չենք {X}նում	չենք {X}նում	չենք {X}նում	չենք {X}նում	չենք {X}նում	չենք {X}նում	չենք {X}նում	չենք {Xprs}ում	չենք {Xprs}ում	չենք {Xprs}ում	չենք {Xprs}ում	չենք {Xprs}ում	չենք {Xprs}ալիս	չենք {Xprs}ալիս	չ{X}անք	չ{X}ենք	չենք {X}ում	չենք {X}ում	չենք {Xprs}նում	չենք {X}նում	չենք {X}ում
negative indicative present 2PL	չէք {X}ում	չէք {X}ում	չէք {X}ում	չէք {X}նում	չէք {X}նում	չէք {X}ցնում	չէք {X}ցնում	չէք {X}նում	չէք {X}նում	չէք {X}նում	չէք {X}նում	չէք {X}նում	չէք {X}նում	չէք {X}նում	չէք {Xprs}ում	չէք {Xprs}ում	չէք {Xprs}ում	չէք {Xprs}ում	չէք {Xprs}ում	չէք {Xprs}ալիս	չէք {Xprs}ալիս	չ{X}աք	չ{X}եք	չէք {X}ում	չէք {X}ում	չէք {Xprs}նում	չէք {X}նում	չէք {X}ում
negative indicative present 3PL	չեն {X}ում	չեն {X}ում	չեն {X}ում	չեն {X}նում	չեն {X}նում	չեն {X}ցնում	չեն {X}ցնում	չեն {X}նում	չեն {X}նում	չեն {X}նում	չեն {X}նում	չեն {X}նում	չեն {X}նում	չեն {X}նում	չեն {Xprs}ում	չեն {Xprs}ում	չեն {Xprs}ում	չեն {Xprs}ում	չեն {Xprs}ում	չեն {Xprs}ալիս	չեն {Xprs}ալիս	չ{X}ան	չ{X}են	չեն {X}ում	չեն {X}ում	չեն {Xprs}նում	չեն {X}նում	չեն {X}ում
indicative past imperfective 1SG	{X}ում իմ	{X}ում իմ	{X}ում իմ	{X}նում իմ	{X}նում իմ	{X}ցնում իմ	{X}ցնում իմ	{X}նում իմ	{X}նում իմ	{X}նում իմ	{X}նում իմ	{X}նում իմ	{X}նում իմ	{X}նում իմ	{Xprs}ում իմ	{Xprs}ում իմ	{Xprs}ում իմ	{Xprs}ում իմ	{Xprs}ում իմ	{Xprs}ալիս իմ	{Xprs}ալիս իմ	{X}այիմ	{X}իմ	{X}ում իմ	{X}ում իմ	{Xprs}նում իմ	{X}նում իմ	{X}ում իմ
indicative past imperfective 2SG	{X}ում իր	{X}ում իր	{X}ում իր	{X}նում իր	{X}նում իր	{X}ցնում իր	{X}ցնում իր	{X}նում իր	{X}նում իր	{X}նում իր	{X}նում իր	{X}նում իր	{X}նում իր	{X}նում իր	{Xprs}ում իր	{Xprs}ում իր	{Xprs}ում իր	{Xprs}ում իր	{Xprs}ում իր	{Xprs}ալիս իր	{Xprs}ալիս իր	{X}այիր	{X}իր	{X}ում իր	{X}ում իր	{Xprs}նում իր	{X}նում իր	{X}ում իր
indicative past imperfective 3SG	{X}ում էր	{X}ում էր	{X}ում էր	{X}նում էր	{X}նում էր	{X}ցնում էր	{X}ցնում էր	{X}նում էր	{X}նում էր	{X}նում էր	{X}նում էր	{X}նում էր	{X}նում էր	{X}նում էր	{Xprs}ում էր	{Xprs}ում էր	{Xprs}ում էր	{Xprs}ում էր	{Xprs}ում էր	{Xprs}ալիս էր	{Xprs}ալիս էր	{X}ար	{X}էր	{X}ում էր	{X}ում էր	{Xprs}նում էր	{X}նում էր	{X}ում էր
indicative past imperfective 1PL	{X}ում ինք	{X}ում ինք	{X}ում ինք	{X}նում ինք	{X}նում ինք	{X}ցնում ինք	{X}ցնում ինք	{X}նում ինք	{X}նում ինք	{X}նում ինք	{X}նում ինք	{X}նում ինք	{X}նում ինք	{X}նում ինք	{Xprs}ում ինք	{Xprs}ում ինք	{Xprs}ում ինք	{Xprs}ում ինք	{Xprs}ում ինք	{Xprs}ալիս ինք	{Xprs}ալիս ինք	{X}այինք	{X}ինք	{X}ում ինք	{X}ում ինք	{Xprs}նում ինք	{X}նում ինք	{X}ում ինք
indicative past imperfective 2PL	{X}ում իք	{X}ում իք	{X}ում իք	{X}նում իք	{X}նում իք	{X}ցնում իք	{X}ցնում իք	{X}նում իք	{X}նում իք	{X}նում իք	{X}նում իք	{X}նում իք	{X}նում իք	{X}նում իք	{Xprs}ում իք	{Xprs}ում իք	{Xprs}ում իք	{Xprs}ում իք	{Xprs}ում իք	{Xprs}ալիս իք	{Xprs}ալիս իք	{X}այիք	{X}իք	{X}ում իք	{X}ում իք	{Xprs}նում իք	{X}նում իք	{X}ում իք
indicative past imperfective 3PL	{X}ում ին	{X}ում ին	{X}ում ին	{X}նում ին	{X}նում ին	{X}ցնում ին	{X}ցնում ին	{X}նում ին	{X}նում ին	{X}նում ին	{X}նում ին	{X}նում ին	{X}նում ին	{X}նում ին	{Xprs}ում ին	{Xprs}ում ին	{Xprs}ում ին	{Xprs}ում ին	{Xprs}ում ին	{Xprs}ալիս ին	{Xprs}ալիս ին	{X}այինք	{X}ինք	{X}ում ին	{X}ում ին	{Xprs}նում ին	{X}նում ին	{X}ում ին
negative indicative past imperfective 1SG	չիմ {X}ում	չիմ {X}ում	չիմ {X}ում	չիմ {X}նում	չիմ {X}նում	չիմ {X}ցնում	չիմ {X}ցնում	չիմ {X}նում	չիմ {X}նում	չիմ {X}նում	չիմ {X}նում	չիմ {X}նում	չիմ {X}նում	չիմ {X}նում	չիմ {Xprs}ում	չիմ {Xprs}ում	չիմ {Xprs}ում	չիմ {Xprs}ում	չիմ {Xprs}ում	չիմ {Xprs}ալիս	չիմ {Xprs}ալիս	չ{X}այիմ	չ{X}իմ	չիմ {X}ում	չիմ {X}ում	չիմ {Xprs}նում	չիմ {X}նում	չիմ {X}ում
negative indicative past imperfective 2SG	չիր {X}ում	չիր {X}ում	չիր {X}ում	չիր {X}նում	չիր {X}նում	չիր {X}ցնում	չիր {X}ցնում	չիր {X}նում	չիր {X}նում	չիր {X}նում	չիր {X}նում	չիր {X}նում	չիր {X}նում	չիր {X}նում	չիր {Xprs}ում	չիր {Xprs}ում	չիր {Xprs}ում	չիր {Xprs}ում	չիր {Xprs}ում	չիր {Xprs}ալիս	չիր {Xprs}ալիս	չ{X}այիր	չ{X}իր	չիր {X}ում	չիր {X}ում	չիր {Xprs}նում	չիր {X}նում	չիր {X}ում
negative indicative past imperfective 3SG	չէր {X}ում	չէր {X}ում	չէր {X}ում	չէր {X}նում	չէր {X}նում	չէր {X}ցնում	չէր {X}ցնում	չէր {X}նում	չէր {X}նում	չէր {X}նում	չէր {X}նում	չէր {X}նում	չէր {X}նում	չէր {X}նում	չէր {Xprs}ում	չէր {Xprs}ում	չէր {Xprs}ում	չէր {Xprs}ում	չէր {Xprs}ում	չէր {Xprs}ալիս	չէր {Xprs}ալիս	չ{X}ար	չ{X}էր	չէր {X}ում	չէր {X}ում	չէր {Xprs}նում	չէր {X}նում	չէր {X}ում
negative indicative past imperfective 1PL	չինք {X}ում	չինք {X}ում	չինք {X}ում	չինք {X}նում	չինք {X}նում	չինք {X}ցնում	չինք {X}ցնում	չինք {X}նում	չինք {X}նում	չինք {X}նում	չինք {X}նում	չինք {X}նում	չինք {X}նում	չինք {X}նում	չինք {Xprs}ում	չինք {Xprs}ում	չինք {Xprs}ում	չինք {Xprs}ում	չինք {Xprs}ում	չինք {Xprs}ալիս	չինք {Xprs}ալիս	չ{X}այինք	չ{X}ինք	չինք {X}ում	չինք {X}ում	չինք {Xprs}նում	չինք {X}նում	չինք {X}ում
negative indicative past imperfective 2PL	չիք {X}ում	չիք {X}ում	չիք {X}ում	չիք {X}նում	չիք {X}նում	չիք {X}ցնում	չիք {X}ցնում	չիք {X}նում	չիք {X}նում	չիք {X}նում	չիք {X}նում	չիք {X}նում	չիք {X}նում	չիք {X}նում	չիք {Xprs}ում	չիք {Xprs}ում	չիք {Xprs}ում	չիք {Xprs}ում	չիք {Xprs}ում	չիք {Xprs}ալիս	չիք {Xprs}ալիս	չ{X}այիք	չ{X}իք	չիք {X}ում	չիք {X}ում	չիք {Xprs}նում	չիք {X}նում	չիք {X}ում
negative indicative past imperfective 3PL	չին {X}ում	չին {X}ում	չին {X}ում	չին {X}նում	չին {X}նում	չին {X}ցնում	չին {X}ցնում	չին {X}նում	չին {X}նում	չին {X}նում	չին {X}նում	չին {X}նում	չին {X}նում	չին {X}նում	չին {Xprs}ում	չին {Xprs}ում	չին {Xprs}ում	չին {Xprs}ում	չին {Xprs}ում	չին {Xprs}ալիս	չին {Xprs}ալիս	չ{X}այինք	չ{X}ինք	չին {X}ում	չին {X}ում	չին {Xprs}նում	չին {X}նում	չին {X}ում
