negative indicative present 3PL	չեն երգում	չեն ուղարկում	չեն կարդում	չեն ցանկանում	չեն ուրախանում	չեն վերցնում	չեն ուրախացնում	չեն մեռնում	չեն իջնում	չեն փախնում	չեն առնում	չեն տեսնում	չեն էլնում	չեն թողնում	չեն ուտում	չեն անում	չեն տանում	չեն դնում	չեն էթում	չեն տալիս	չեն գալիս	չկան	չունեն	չարժեն	չեն բերում	չեն ասում	չեն դառնում	չեն լուանում	չեն բացում
indicative past imperfective 1SG	երգում իմ	ուղարկում իմ	կարդում իմ	ցանկանում իմ	ուրախանում իմ	վերցնում իմ	ուրախացնում իմ	մեռնում իմ	իջնում իմ	փախնում իմ	առնում իմ	տեսնում իմ	էլնում իմ	թողնում իմ	ուտում իմ	անում իմ	տանում իմ	դնում իմ	էթում իմ	տալիս իմ	գալիս իմ	կայիմ	ունիմ	արժիմ	բերում իմ	ասում իմ	դառնում իմ	լուանում իմ	բացում իմ
indicative past imperfective 2SG	երգում իր	ուղարկում իր	կարդում իր	ցանկանում իր	ուրախանում իր	վերցնում իր	ուրախացնում իր	մեռնում իր	իջնում իր	փախնում իր	առնում իր	տեսնում իր	էլնում իր	թողնում իր	ուտում իր	անում իր	տանում իր	դնում իր	էթում իր	տալիս իր	գալիս իր	կայիր	ունիր	արժիր	բերում իր	ասում իր	դառնում իր	լուանում իր	բացում իր
indicative past imperfective 3SG	երգում էր	ուղարկում էր	կարդում էր	ցանկանում էր	ուրախանում էր	վերցնում էր	ուրախացնում էր	մեռնում էր	իջնում էր	փախնում էր	առնում էր	տեսնում էր	էլնում էր	թողնում էր	ուտում էր	անում էր	տանում էր	դնում էր	էթում էր	տալիս էր	գալիս էր	կար	ունէր	արժէր	բերում էր	ասում էր	դառնում էր	լուանում էր	բացում էր
indicative past imperfective 1PL	երգում ինք	ուղարկում ինք	կարդում ինք	ցանկանում ինք	ուրախանում ինք	վերցնում ինք	ուրախացնում ինք	մեռնում ինք	իջնում ինք	փախնում ինք	առնում ինք	տեսնում ինք	էլնում ինք	թողնում ինք	ուտում ինք	անում ինք	տանում ինք	դնում ինք	էթում ինք	տալիս ինք	գալիս ինք	կայինք	ունինք	արժինք	բերում ինք	ասում ինք	դառնում ինք	լուանում ինք	բացում ինք
indicative past imperfective 2PL	երգում իք	ուղարկում իք	կարդում իք	ցանկանում իք	ուրախանում իք	վերցնում իք	ուրախացնում իք	մեռնում իք	իջնում իք	փախնում իք	առնում իք	տեսնում իք	էլնում իք	թողնում իք	ուտում իք	անում իք	տանում իք	դնում իք	էթում իք	տալիս իք	գալիս իք	կայիք	ունիք	արժիք	բերում իք	ասում իք	դառնում իք	լուանում իք	բացում իք
indicative past imperfective 3PL	երգում ին	ուղարկում ին	կարդում ին	ցանկանում ին	ուրախանում ին	վերցնում ին	ուրախացնում ին	մեռնում ին	իջնում ին	փախնում ին	առնում ին	տեսնում ին	էլնում ին	թողնում ին	ուտում ին	անում ին	տանում ին	դնում ին	էթում ին	տալիս ին	գալիս ին	կային	ունին	արժին	բերում ին	ասում ին	դառնում ին	լուանում ին	բացում ին
negative indicative past imperfective 1SG	չիմ երգում	չիմ ուղարկում	չիմ կարդում	չիմ ցանկանում	չիմ ուրախանում	չիմ վերցնում	չիմ ուրախացնում	չիմ մեռնում	չիմ իջնում	չիմ փախնում	չիմ առնում	չիմ տեսնում	չիմ էլնում	չիմ թողնում	չիմ ուտում	չիմ անում	չիմ տանում	չիմ դնում	չիմ էթում	չիմ տալիս	չիմ գալիս	չկայիմ	չունիմ	չարժիմ	չիմ բերում	չիմ ասում	չիմ դառնում	չիմ լուանում	չիմ բացում
negative indicative past imperfective 2SG	չիր երգում	չիր ուղարկում	չիր կարդում	չիր ցանկանում	չիր ուրախանում	չիր վերցնում	չիր ուրախացնում	չիր մեռնում	չիր իջնում	չիր փախնում	չիր առնում	չիր տեսնում	չիր էլնում	չիր թողնում	չիր ուտում	չիր անում	չիր տանում	չիր դնում	չիր էթում	չիր տալիս	չիր գալիս	չկայիր	չունիր	չարժիր	չիր բերում	չիր ասում	չիր դառնում	չիր լուանում	չիր բացում
negative indicative past imperfective 3SG	չէր երգում	չէր ուղարկում	չէր կարդում	չէր ցանկանում	չէր ուրախանում	չէր վերցնում	չէր ուրախացնում	չէր մեռնում	չէր իջնում	չէր փախնում	չէր առնում	չէր տեսնում	չէր էլնում	չէր թողնում	չէր ուտում	չէր անում	չէր տանում	չէր դնում	չէր էթում	չէր տալիս	չէր գալիս	չկար	չունէր	չարժէր	չէր բերում	չէր ասում	չէր դառնում	չէր լուանում	չէր բացում
